100,1055,567,1141,12854,662,494,
100,598,283,814,871,373,308,
100,545,322,621,781,427,352,
100,560,287,839,816,365,348,
100,411,325,580,649,589,318,
100,354,267,715,1064,322,429,
100,450,266,549,1623,475,518,
100,420,320,417,1272,371,558,
100,437,287,301,854,255,490,
100,410,268,416,806,378,314,
100,390,306,302,511,268,191,
100,396,285,347,554,268,175,
100,410,279,231,299,268,181,
100,519,297,229,355,315,189,
100,390,293,249,281,260,171,
100,387,294,319,297,258,194,
100,415,366,244,286,296,182,
100,393,286,237,278,294,160,
100,376,309,217,273,308,156,
100,428,330,218,322,267,159,
100,401,295,233,339,269,158,
100,605,358,226,303,264,162,
100,389,368,259,398,273,196,
100,431,346,217,268,316,218,
100,442,339,211,282,267,150,
100,414,278,275,314,287,165,
100,498,355,232,342,315,201,
100,563,403,219,328,259,250,
100,364,311,237,330,249,326,
100,369,357,323,303,286,178,
100,399,299,237,298,284,157,
100,401,278,240,273,7435,1466,
100,486,292,274,2730,1720,2279,
100,436,259,226,226,223,187,
100,352,251,177,262,237,138,
100,316,202,221,312,183,171,
100,372,264,232,247,190,177,
100,382,212,284,300,192,171,
100,402,208,264,248,212,133,
100,410,262,195,223,196,138,
100,355,223,187,262,230,135,
100,399,250,196,248,272,156,
100,367,190,245,353,183,160,
100,367,220,231,253,227,166,
100,433,269,209,255,199,149,
100,415,265,175,267,172,166,
100,366,244,210,311,197,180,
100,354,221,214,289,203,167,
100,361,225,239,247,206,168,
100,467,286,247,240,186,157,
150,343,197,200,306,355,158,
150,474,151,196,247,192,147,
150,316,167,224,251,202,176,
150,336,150,196,233,235,312,
150,308,158,310,271,282,154,
150,340,151,185,464,185,139,
150,274,132,118,158,253,120,
150,264,103,149,301,108,86,
150,208,102,150,220,107,84,
150,410,110,132,228,128,86,
150,318,104,178,173,119,99,
150,308,154,238,276,185,158,
150,314,164,208,230,188,136,
150,327,199,212,400,198,126,
150,313,168,177,228,174,131,
150,301,176,277,232,188,122,
150,317,256,193,266,212,129,
150,290,171,198,279,255,143,
150,461,232,189,228,210,82,
150,324,176,188,253,181,142,
150,338,213,186,304,197,126,
150,297,164,199,252,186,119,
150,271,203,275,241,194,130,
150,365,247,186,252,220,125,
150,278,487,264,396,182,320,
150,413,186,182,281,173,138,
150,284,174,304,259,220,142,
150,275,182,184,251,239,179,
150,456,232,186,272,235,156,
150,284,233,208,269,235,142,
150,588,205,188,292,931,630,
150,255,208,191,371,172,150,
150,258,174,230,258,179,142,
150,258,152,187,308,182,145,
150,260,172,207,379,186,143,
150,278,186,193,274,183,143,
150,281,208,209,249,189,144,
150,264,184,214,256,188,103,
150,257,167,218,290,183,104,
150,281,172,202,253,204,104,
150,259,158,190,242,202,106,
150,267,158,326,234,167,119,
150,263,144,115,250,190,106,
150,294,153,126,249,203,100,
150,248,182,126,238,188,88,
150,246,174,157,267,290,89,
150,247,180,150,244,188,89,
150,256,184,124,297,174,90,
150,262,168,134,361,208,92,
150,249,170,132,247,177,108,
200,283,194,111,268,192,101,
200,278,167,136,264,176,101,
200,269,178,137,253,164,100,
200,309,191,127,285,169,92,
200,299,179,116,263,151,101,
200,324,170,149,268,157,123,
200,279,161,146,276,169,89,
200,272,180,113,284,158,98,
200,281,194,137,325,149,93,
200,281,192,126,250,205,102,
200,415,272,139,283,156,115,
200,286,180,128,259,161,94,
200,272,156,114,232,155,86,
200,299,314,114,315,153,102,
200,276,162,138,252,147,100,
200,288,179,117,279,150,91,
200,285,163,124,265,153,108,
200,253,161,114,228,165,103,
200,277,157,120,353,64,70,
200,171,66,76,145,32,22,
200,163,39,33,145,41,38,
200,198,47,56,448,55,44,
200,556,221,157,304,195,141,
200,284,167,123,227,180,116,
200,294,165,135,219,59,53,
200,178,66,62,157,62,44,
200,192,60,52,154,32,28,
200,149,37,51,100,32,29,
200,125,38,39,95,25,37,
200,206,47,57,175,55,63,
200,182,67,69,112,53,50,
200,200,55,59,109,51,48,
200,177,62,72,185,61,50,
200,182,47,40,93,33,22,
200,161,31,33,141,33,28,
200,129,36,39,267,106,67,
200,190,111,80,91,25,37,
200,125,37,49,72,31,22,
200,131,38,40,64,31,29,
200,186,64,43,73,25,28,
200,127,52,104,121,57,48,
200,181,58,65,108,55,49,
200,191,63,89,108,46,50,
200,221,64,70,152,61,43,
200,231,65,71,149,63,53,
200,224,65,63,141,50,51,
200,212,56,72,125,56,42,
200,200,128,66,121,57,49,
200,179,59,68,116,56,51,
200,124,52,40,73,25,30,
250,115,42,54,117,48,45,
250,181,53,56,110,52,47,
250,117,46,48,72,30,27,
250,113,36,32,64,30,26,
250,114,36,38,63,30,71,
250,166,36,38,70,30,27,
250,133,36,48,79,30,34,
250,120,35,38,70,31,27,
250,114,37,38,71,30,27,
250,182,35,38,71,30,27,
250,110,57,65,413,34,27,
250,104,36,34,195,30,27,
250,167,61,54,326,58,47,
250,157,61,59,316,58,52,
